#KO	Name	Definition	Count	Count_pct
K02837	prfC	"peptide chain release factor 3"	3	0.02
K06199	crcB, FEX	"fluoride exporter"	2	0.01
K02027	ABC.MS.S	"multiple sugar transport system substrate-binding protein"	10	0.05
K07444	ypsC	"putative N6-adenine-specific DNA methylase [EC:2.1.1.-]"	1	0.01
K02008	cbiQ	"cobalt/nickel transport system permease protein"	1	0.01
K06997	yggS, PROSC	"PLP dependent protein"	1	0.01
K00640	cysE	"serine O-acetyltransferase [EC:2.3.1.30]"	15	0.08
K00820	glmS, GFPT	"glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]"	18	0.10
K04094	trmFO, gid	"methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]"	6	0.03
K21238	Gp5	"T7virus DNA-directed DNA polymerase [EC:2.7.7.7]"	2	0.01
K02968	RP-S20, rpsT	"small subunit ribosomal protein S20"	1	0.01
K16012	cydC	"ATP-binding cassette, subfamily C, bacterial CydC"	2	0.01
K14028	mdh1, mxaF	"methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]"	1	0.01
K21054	eryB	"D-erythritol 1-phosphate dehydrogenase [EC:1.1.1.402]"	2	0.01
K05711	hcaB	"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87]"	1	0.01
K02470	gyrB	"DNA gyrase subunit B [EC:5.6.2.2]"	3	0.02
K05846	opuBD	"osmoprotectant transport system permease protein"	2	0.01
K00100	bdhAB	"butanol dehydrogenase [EC:1.1.1.-]"	1	0.01
K02072	metI	"D-methionine transport system permease protein"	4	0.02
K00937	ppk	"polyphosphate kinase [EC:2.7.4.1]"	6	0.03
K02073	metQ	"D-methionine transport system substrate-binding protein"	5	0.03
K03478	chbG	"chitin disaccharide deacetylase [EC:3.5.1.105]"	1	0.01
K08289	purT	"phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]"	1	0.01
K01768	E4.6.1.1	"adenylate cyclase [EC:4.6.1.1]"	39	0.21
K03006	RPB1, POLR2A	"DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]"	5	0.03
K02834	rbfA	"ribosome-binding factor A"	1	0.01
K00533	E1.12.7.2L	"ferredoxin hydrogenase large subunit [EC:1.12.7.2]"	5	0.03
K01180	E3.2.1.6	"endo-1,3(4)-beta-glucanase [EC:3.2.1.6]"	1	0.01
K06910	PEBP1, TFS1	"phosphatidylethanolamine-binding protein"	2	0.01
K03088	rpoE	"RNA polymerase sigma-70 factor, ECF subfamily"	1	0.01
K02341	holB	"DNA polymerase III subunit delta' [EC:2.7.7.7]"	11	0.06
K01156	res	"type III restriction enzyme [EC:3.1.21.5]"	1	0.01
K14441	rimO	"ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]"	3	0.02
K01887	RARS, argS	"arginyl-tRNA synthetase [EC:6.1.1.19]"	2	0.01
K01414	prlC	"oligopeptidase A [EC:3.4.24.70]"	4	0.02
K02128	ATPeF0C, ATP5G, ATP9	"F-type H+-transporting ATPase subunit c"	2	0.01
K09760	rmuC	"DNA recombination protein RmuC"	1	0.01
K00122	FDH	"formate dehydrogenase [EC:1.17.1.9]"	11	0.06
K00381	cysI	"sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]"	2	0.01
K00036	G6PD, zwf	"glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]"	7	0.04
K02038	pstA	"phosphate transport system permease protein"	1	0.01
K02982	RP-S3, rpsC	"small subunit ribosomal protein S3"	2	0.01
K11102	gltP, gltT	"proton glutamate symport protein"	2	0.01
K10778	ada	"AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]"	4	0.02
K03585	acrA, mexA, adeI, smeD, mtrC, cmeA	"membrane fusion protein, multidrug efflux system"	1	0.01
K13177	DDX1	"ATP-dependent RNA helicase DDX1 [EC:3.6.4.13]"	2	0.01
K11962	urtD	"urea transport system ATP-binding protein"	7	0.04
K02193	ccmA	"heme exporter protein A [EC:7.6.2.5]"	1	0.01
K22026	K22026	"nucleoside kinase [EC:2.7.1.73 2.7.1.213 2.7.1.-]"	1	0.01
K18672	dacA	"diadenylate cyclase [EC:2.7.7.85]"	2	0.01
K02822	PTS-Ula-EIIB, ulaB, sgaB	"PTS system, ascorbate-specific IIB component [EC:2.7.1.194]"	5	0.03
K13638	zntR	"MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA"	1	0.01
K15666	K15666, ppsC, fenE	"fengycin family lipopeptide synthetase C"	1	0.01
K02057	ABC.SS.P	"simple sugar transport system permease protein"	3	0.02
K17686	copA, ctpA, ATP7	"P-type Cu+ transporter [EC:7.2.2.8]"	4	0.02
K01358	clpP, CLPP	"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]"	1	0.01
K09891	K09891	"uncharacterized protein"	1	0.01
K00791	miaA, TRIT1	"tRNA dimethylallyltransferase [EC:2.5.1.75]"	2	0.01
K01223	E3.2.1.86B, bglA	"6-phospho-beta-glucosidase [EC:3.2.1.86]"	10	0.05
K01243	mtnN, mtn, pfs	"adenosylhomocysteine nucleosidase [EC:3.2.2.9]"	5	0.03
K01032	pcaJ	"3-oxoadipate CoA-transferase, beta subunit [EC:2.8.3.6]"	1	0.01
K21613	yxeP	"uncharacterized hydrolase [EC:3.-.-.-]"	2	0.01
K07659	ompR	"two-component system, OmpR family, phosphate regulon response regulator OmpR"	1	0.01
K02468	srlR, gutR	"DeoR family transcriptional regulator, glucitol operon repressor"	1	0.01
K01057	PGLS, pgl, devB	"6-phosphogluconolactonase [EC:3.1.1.31]"	4	0.02
K06158	ABCF3	"ATP-binding cassette, subfamily F, member 3"	6	0.03
K00626	E2.3.1.9, atoB	"acetyl-CoA C-acetyltransferase [EC:2.3.1.9]"	6	0.03
K07678	barA, gacS, varS	"two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]"	34	0.19
K00821	argD	"acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]"	3	0.02
K13179	DDX18, HAS1	"ATP-dependent RNA helicase DDX18/HAS1 [EC:3.6.4.13]"	2	0.01
K02433	gatA, QRSL1	"aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]"	4	0.02
K01044	CES1	"carboxylesterase 1 [EC:3.1.1.1]"	1	0.01
K03294	TC.APA	"basic amino acid/polyamine antiporter, APA family"	2	0.01
K13772	rirA	"Rrf2 family transcriptional regulator, iron-responsive regulator"	1	0.01
K06187	recR	"recombination protein RecR"	1	0.01
K03928	yvaK	"carboxylesterase [EC:3.1.1.1]"	1	0.01
K00547	mmuM, BHMT2	"homocysteine S-methyltransferase [EC:2.1.1.10]"	2	0.01
K01761	E4.4.1.11	"methionine-gamma-lyase [EC:4.4.1.11]"	1	0.01
K03638	moaB	"molybdopterin adenylyltransferase [EC:2.7.7.75]"	1	0.01
K15906		""	2	0.01
K02300	cyoD	"cytochrome o ubiquinol oxidase subunit IV"	2	0.01
K00609	pyrB, PYR2	"aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"	7	0.04
K18162	NDUFAF5	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]"	1	0.01
K02349	POLQ	"DNA polymerase theta [EC:2.7.7.7]"	1	0.01
K02933	RP-L6, MRPL6, rplF	"large subunit ribosomal protein L6"	1	0.01
K00029	E1.1.1.40, maeB	"malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]"	8	0.04
K11356	cikA	"two-component system, sensor histidine kinase and response regulator [EC:2.7.13.3]"	22	0.12
K00990	glnD	"[protein-PII] uridylyltransferase [EC:2.7.7.59]"	13	0.07
K00799	GST, gst	"glutathione S-transferase [EC:2.5.1.18]"	4	0.02
K13531	adaB	"methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]"	1	0.01
K03521	fixA, etfB	"electron transfer flavoprotein beta subunit"	2	0.01
K02406	fliC	"flagellin"	1	0.01
K07460	yraN	"putative endonuclease"	2	0.01
K11517	HAO	"(S)-2-hydroxy-acid oxidase [EC:1.1.3.15]"	1	0.01
K01702	LEU1	"3-isopropylmalate dehydratase [EC:4.2.1.33]"	3	0.02
K01576	mdlC	"benzoylformate decarboxylase [EC:4.1.1.7]"	3	0.02
K11540	CAD	"carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3]"	6	0.03
K03312	gltS	"glutamate:Na+ symporter, ESS family"	2	0.01
K14442	DHX36, RHAU	"ATP-dependent RNA helicase DHX36 [EC:3.6.4.13]"	13	0.07
K08302	gatY-kbaY	"tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40]"	2	0.01
K13877	aldH	"2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]"	1	0.01
K01956	carA, CPA1	"carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]"	8	0.04
K02110	ATPF0C, atpE	"F-type H+-transporting ATPase subunit c"	2	0.01
K02299	cyoC	"cytochrome o ubiquinol oxidase subunit III"	1	0.01
K03045	rpoB2	"DNA-directed RNA polymerase subunit B\" [EC:2.7.7.6]"	3	0.02
K08166	mmr	"MFS transporter, DHA2 family, methylenomycin A resistance protein"	1	0.01
K01825	fadB	"3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]"	1	0.01
K08227	lplT	"MFS transporter, LPLT family, lysophospholipid transporter"	2	0.01
K02233	E2.7.8.26, cobS, cobV	"adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]"	2	0.01
K07640	cpxA	"two-component system, OmpR family, sensor histidine kinase CpxA [EC:2.7.13.3]"	26	0.14
K01866	YARS, tyrS	"tyrosyl-tRNA synthetase [EC:6.1.1.1]"	1	0.01
K14980	chvG	"two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]"	4	0.02
K02316	dnaG	"DNA primase [EC:2.7.7.101]"	13	0.07
K13747	nspC	"carboxynorspermidine decarboxylase [EC:4.1.1.96]"	3	0.02
K01735	aroB	"3-dehydroquinate synthase [EC:4.2.3.4]"	4	0.02
K00111	glpA, glpD	"glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"	1	0.01
K02904	RP-L29, rpmC	"large subunit ribosomal protein L29"	1	0.01
K07735	algH	"putative transcriptional regulator"	1	0.01
K01955	carB, CPA2	"carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]"	11	0.06
K06959	tex	"protein Tex"	6	0.03
K08177	oxlT	"MFS transporter, OFA family, oxalate/formate antiporter"	2	0.01
K00611	OTC, argF, argI	"ornithine carbamoyltransferase [EC:2.1.3.3]"	1	0.01
K15600	thiZ	"putative hydroxymethylpyrimidine transport system ATP-binding protein"	1	0.01
K08077	NUDT14	"UDP-sugar diphosphatase [EC:3.6.1.45]"	4	0.02
K12506	ispDF	"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]"	2	0.01
K13003	wbtG	"glycosyltransferase [EC:2.4.1.-]"	1	0.01
K20534	gtrB, csbB	"polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]"	1	0.01
K01647	CS, gltA	"citrate synthase [EC:2.3.3.1]"	1	0.01
K13892	gsiA	"glutathione transport system ATP-binding protein"	6	0.03
K00756	pdp	"pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]"	2	0.01
K03041	rpoA1	"DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]"	18	0.10
K07642	baeS, smeS	"two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]"	57	0.31
K11263	bccA, pccA	"acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]"	4	0.02
K01430	ureA	"urease subunit gamma [EC:3.5.1.5]"	2	0.01
K08346		""	2	0.01
K00517	CYP81F	"indol-3-yl-methylglucosinolate hydroxylase [EC:1.14.-.-]"	41	0.23
K01613	psd, PISD	"phosphatidylserine decarboxylase [EC:4.1.1.65]"	2	0.01
K00729	ALG5	"dolichyl-phosphate beta-glucosyltransferase [EC:2.4.1.117]"	6	0.03
K07647	torS	"two-component system, OmpR family, sensor histidine kinase TorS [EC:2.7.13.3]"	37	0.20
K02440	GLPF	"glycerol uptake facilitator protein"	1	0.01
K00341	nuoL	"NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]"	1	0.01
K10562	rhaT	"rhamnose transport system ATP-binding protein [EC:7.5.2.-]"	2	0.01
K13677	dgs, bgsA	"1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208]"	3	0.02
K11068	hlyIII	"hemolysin III"	1	0.01
K03602	xseB	"exodeoxyribonuclease VII small subunit [EC:3.1.11.6]"	1	0.01
K13599	ntrX	"two-component system, NtrC family, nitrogen regulation response regulator NtrX"	4	0.02
K23163	sbp	"sulfate/thiosulfate transport system substrate-binding protein"	3	0.02
K02756	PTS-Bgl-EIIB, bglF, bglP	"PTS system, beta-glucoside-specific IIB component [EC:2.7.1.-]"	12	0.07
K20901	lerK	"L-erythrulose 1-kinase [EC:2.7.1.209]"	1	0.01
K07160	pxpA	"5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]"	2	0.01
K00235	SDHB, SDH2	"succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]"	3	0.02
K15598	thiY	"putative hydroxymethylpyrimidine transport system substrate-binding protein"	4	0.02
K03469	rnhA, RNASEH1	"ribonuclease HI [EC:3.1.26.4]"	4	0.02
K00979	kdsB	"3-deoxy-manno-octulosonate cytidylyltransferase (CMP-KDO synthetase) [EC:2.7.7.38]"	2	0.01
K01262	pepP	"Xaa-Pro aminopeptidase [EC:3.4.11.9]"	6	0.03
K14205	mprF, fmtC	"phosphatidylglycerol lysyltransferase [EC:2.3.2.3]"	1	0.01
K03183	ubiE	"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]"	5	0.03
K08682	acpH	"acyl carrier protein phosphodiesterase [EC:3.1.4.14]"	1	0.01
K03761	kgtP	"MFS transporter, MHS family, alpha-ketoglutarate permease"	2	0.01
K03685	rnc, DROSHA, RNT1	"ribonuclease III [EC:3.1.26.3]"	2	0.01
K02600	nusA	"transcription termination/antitermination protein NusA"	2	0.01
K03919	alkB	"DNA oxidative demethylase [EC:1.14.11.33]"	3	0.02
K13403	MTHFD2	"methylenetetrahydrofolate dehydrogenase(NAD+) / 5,10-methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.15 3.5.4.9]"	7	0.04
K14052	puuP	"putrescine importer"	1	0.01
K08162	mdtH	"MFS transporter, DHA1 family, multidrug resistance protein"	2	0.01
K03644	lipA, LIAS, LIP1, LIP5	"lipoyl synthase [EC:2.8.1.8]"	4	0.02
K02999	RPA1, POLR1A	"DNA-directed RNA polymerase I subunit RPA1 [EC:2.7.7.6]"	5	0.03
K01251	E3.3.1.1, ahcY	"adenosylhomocysteinase [EC:3.3.1.1]"	1	0.01
K13178	DDX17	"ATP-dependent RNA helicase DDX17 [EC:3.6.4.13]"	2	0.01
K18204	D2HGDH	"D-2-hydroxyglutarate dehydrogenase [EC:1.1.99.39]"	1	0.01
K01629	rhaD	"rhamnulose-1-phosphate aldolase [EC:4.1.2.19]"	2	0.01
K02817	PTS-Tre-EIIA, treP	"PTS system, trehalose-specific IIA component [EC:2.7.1.201]"	10	0.05
K23016	lgoT	"MFS transporter, ACS family, L-galactonate transporter"	1	0.01
K05299	fdhA	"formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]"	1	0.01
K07515	HADHA	"enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]"	1	0.01
K15895	pseC	"UDP-4-amino-4,6-dideoxy-L-N-acetyl-beta-L-altrosamine transaminase [EC:2.6.1.92]"	1	0.01
K09687		""	1	0.01
K02843	waaF, rfaF	"heptosyltransferase II [EC:2.4.-.-]"	1	0.01
K18692	cshB	"ATP-dependent RNA helicase CshB [EC:3.6.4.13]"	1	0.01
K00459	ncd2, npd	"nitronate monooxygenase [EC:1.13.12.16]"	5	0.03
K09997	artI	"arginine transport system substrate-binding protein"	1	0.01
K01782	fadJ	"3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]"	1	0.01
K08996	yagU	"putative membrane protein"	1	0.01
K02996	RP-S9, MRPS9, rpsI	"small subunit ribosomal protein S9"	1	0.01
K00939	adk, AK	"adenylate kinase [EC:2.7.4.3]"	1	0.01
K00521	E1.16.1.7	"ferric-chelate reductase [EC:1.16.1.7]"	1	0.01
K12555	pbp2A	"penicillin-binding protein 2A [EC:2.4.1.129 3.4.16.4]"	2	0.01
K18889	mdlA, smdA	"ATP-binding cassette, subfamily B, multidrug efflux pump"	1	0.01
K01126	E3.1.4.46, glpQ, ugpQ	"glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]"	1	0.01
K03702	uvrB	"excinuclease ABC subunit B"	4	0.02
K08679	E5.1.3.6	"UDP-glucuronate 4-epimerase [EC:5.1.3.6]"	2	0.01
K02527	kdtA, waaA	"3-deoxy-D-manno-octulosonic-acid transferase [EC:2.4.99.12 2.4.99.13 2.4.99.14 2.4.99.15]"	1	0.01
K13637	uxuR	"GntR family transcriptional regulator, uxu operon transcriptional repressor"	1	0.01
K18367	CoADR	"CoA-dependent NAD(P)H sulfur oxidoreductase [EC:1.8.1.18]"	1	0.01
K00123	fdoG, fdhF, fdwA	"formate dehydrogenase major subunit [EC:1.17.1.9]"	14	0.08
K02771	PTS-Fru1-EIID, levG	"PTS system, fructose-specific IID component"	1	0.01
K02783	PTS-Gut-EIIC, srlA	"PTS system, glucitol/sorbitol-specific IIC component"	2	0.01
K05982	E3.1.21.7, nfi	"deoxyribonuclease V [EC:3.1.21.7]"	2	0.01
K14058	ttcA	"tRNA 2-thiocytidine biosynthesis protein TtcA"	1	0.01
K00733	B4GALT7	"xylosylprotein 4-beta-galactosyltransferase [EC:2.4.1.133]"	3	0.02
K02004	ABC.CD.P	"putative ABC transport system permease protein"	12	0.07
K01653	E2.2.1.6S, ilvH, ilvN	"acetolactate synthase I/III small subunit [EC:2.2.1.6]"	1	0.01
K08156	araJ	"MFS transporter, DHA1 family, arabinose polymer utilization protein"	1	0.01
K10012	arnC, pmrF	"undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"	1	0.01
K11808	ADE2	"phosphoribosylaminoimidazole carboxylase [EC:4.1.1.21]"	1	0.01
K03686	dnaJ	"molecular chaperone DnaJ"	2	0.01
K03190	ureD, ureH	"urease accessory protein"	1	0.01
K00172	porG	"pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"	2	0.01
K03526	gcpE, ispG	"(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]"	5	0.03
K00325	pntB	"H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]"	3	0.02
K19700	sap	"3-succinoylsemialdehyde-pyridine dehydrogenase [EC:1.2.1.83]"	1	0.01
K01625	eda	"2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]"	1	0.01
K03661	ATPeV0B, ATP6F	"V-type H+-transporting ATPase 21kDa proteolipid subunit"	2	0.01
K08223	fsr	"MFS transporter, FSR family, fosmidomycin resistance protein"	2	0.01
K09015	sufD	"Fe-S cluster assembly protein SufD"	2	0.01
K01958	PC, pyc	"pyruvate carboxylase [EC:6.4.1.1]"	10	0.05
K00641	metX	"homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]"	1	0.01
K06941	rlmN	"23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]"	4	0.02
K09157	K09157	"uncharacterized protein"	2	0.01
K07533	prsA	"foldase protein PrsA [EC:5.2.1.8]"	3	0.02
K09001	anmK	"anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]"	1	0.01
K04045	hscC	"molecular chaperone HscC"	1	0.01
K01119	cpdB	"2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]"	7	0.04
K07654	mtrB	"two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]"	57	0.31
K01902	sucD	"succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]"	2	0.01
K12812	UAP56, BAT1, SUB2	"ATP-dependent RNA helicase UAP56/SUB2 [EC:3.6.4.13]"	5	0.03
K03640	pal	"peptidoglycan-associated lipoprotein"	1	0.01
K21698	aaeR	"LysR family transcriptional regulator, transcriptional activator for aaeXAB operon"	2	0.01
K07314	pphB	"serine/threonine protein phosphatase 2 [EC:3.1.3.16]"	2	0.01
K02967	RP-S2, MRPS2, rpsB	"small subunit ribosomal protein S2"	1	0.01
K14048	ureAB	"urease subunit gamma/beta [EC:3.5.1.5]"	2	0.01
K02482	K02482	"two-component system, NtrC family, sensor kinase [EC:2.7.13.3]"	44	0.24
K13891	gsiD	"glutathione transport system permease protein"	2	0.01
K00322	sthA, udhA	"NAD(P) transhydrogenase [EC:1.6.1.1]"	3	0.02
K02765	PTS-Dgl-EIIC, gamP	"PTS system, D-glucosamine-specific IIC component"	8	0.04
K00164	OGDH, sucA	"2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"	2	0.01
K01438	argE	"acetylornithine deacetylase [EC:3.5.1.16]"	3	0.02
K00590	E2.1.1.113	"site-specific DNA-methyltransferase (cytosine-N4-specific) [EC:2.1.1.113]"	3	0.02
K00721	DPM1	"dolichol-phosphate mannosyltransferase [EC:2.4.1.83]"	6	0.03
K07979	ytrA	"GntR family transcriptional regulator"	1	0.01
K07034	K07034	"uncharacterized protein"	2	0.01
K02046	cysU	"sulfate/thiosulfate transport system permease protein"	1	0.01
K10678	nfsA	"nitroreductase [EC:1.-.-.-]"	2	0.01
K02013	ABC.FEV.A	"iron complex transport system ATP-binding protein [EC:7.2.2.-]"	14	0.08
K07636	phoR	"two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]"	61	0.34
K00605	gcvT, AMT	"aminomethyltransferase [EC:2.1.2.10]"	1	0.01
K02426	sufE	"cysteine desulfuration protein SufE"	1	0.01
K18164	NDUFAF7	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 7"	1	0.01
K01624	FBA, fbaA	"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	3	0.02
K05939	aas	"acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]"	5	0.03
K03429	ugtP	"processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]"	1	0.01
K03596	lepA	"GTP-binding protein LepA"	13	0.07
K01096	pgpB	"phosphatidylglycerophosphatase B [EC:3.1.3.27 3.1.3.81 3.1.3.4 3.6.1.27]"	1	0.01
K03748	sanA	"SanA protein"	1	0.01
K02750	PTS-Glv-EIIC, glvC, malP, aglA	"PTS system, alpha-glucoside-specific IIC component"	10	0.05
K18899	mdtF	"multidrug efflux pump"	1	0.01
K05596	iciA	"LysR family transcriptional regulator, chromosome initiation inhibitor"	1	0.01
K02314	dnaB	"replicative DNA helicase [EC:3.6.4.12]"	7	0.04
K13797	rpoBC	"DNA-directed RNA polymerase subunit beta-beta' [EC:2.7.7.6]"	8	0.04
K14635	MPH1	"ATP-dependent DNA helicase MPH1 [EC:3.6.4.12]"	1	0.01
K09999	artQ	"arginine transport system permease protein"	2	0.01
K07538	had	"6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase [EC:1.1.1.368]"	1	0.01
K03885	ndh	"NADH dehydrogenase [EC:1.6.99.3]"	1	0.01
K02813	PTS-Sor-EIIB, sorB	"PTS system, sorbose-specific IIB component [EC:2.7.1.206]"	3	0.02
K03818	wcaF	"putative colanic acid biosynthesis acetyltransferase WcaF [EC:2.3.1.-]"	6	0.03
K08368	yaaU	"MFS transporter, putative metabolite transport protein"	1	0.01
K08483	PTS-EI.PTSI, ptsI	"phosphotransferase system, enzyme I, PtsI [EC:2.7.3.9]"	10	0.05
K00661	maa	"maltose O-acetyltransferase [EC:2.3.1.79]"	4	0.02
K02226	cobC, phpB	"alpha-ribazole phosphatase [EC:3.1.3.73]"	11	0.06
K14540	rbgA	"ribosome biogenesis GTPase A"	1	0.01
K06016	pydC	"beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]"	2	0.01
K06890	K06890	"uncharacterized protein"	3	0.02
K00788	thiE	"thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]"	3	0.02
K00428	E1.11.1.5	"cytochrome c peroxidase [EC:1.11.1.5]"	3	0.02
K05916	hmp, YHB1	"nitric oxide dioxygenase [EC:1.14.12.17]"	6	0.03
K01759	GLO1, gloA	"lactoylglutathione lyase [EC:4.4.1.5]"	1	0.01
K01663	HIS7	"imidazole glycerol-phosphate synthase [EC:4.3.2.10]"	9	0.05
K03465	thyX, thy1	"thymidylate synthase (FAD) [EC:2.1.1.148]"	1	0.01
K07560	dtd, DTD	"D-aminoacyl-tRNA deacylase [EC:3.1.1.96]"	1	0.01
K01809	manA, MPI	"mannose-6-phosphate isomerase [EC:5.3.1.8]"	3	0.02
K01212	sacC, levB	"levanase [EC:3.2.1.65]"	3	0.02
K01749	hemC, HMBS	"hydroxymethylbilane synthase [EC:2.5.1.61]"	5	0.03
K11202	PTS-Fru2-EIIB	"PTS system, fructose-specific IIB-like component [EC:2.7.1.-]"	15	0.08
K06958	rapZ	"RNase adapter protein RapZ"	2	0.01
K03698	cbf, cbf1	"3'-5' exoribonuclease [EC:3.1.-.-]"	2	0.01
K03474	pdxJ	"pyridoxine 5-phosphate synthase [EC:2.6.99.2]"	1	0.01
K01847	MUT	"methylmalonyl-CoA mutase [EC:5.4.99.2]"	3	0.02
K03669	mdoH	"membrane glycosyltransferase [EC:2.4.1.-]"	2	0.01
K01750	E4.3.1.12, ocd	"ornithine cyclodeaminase [EC:4.3.1.12]"	1	0.01
K05878	dhaK	"phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]"	2	0.01
K01448	amiABC	"N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]"	35	0.19
K01713	pheC	"cyclohexadienyl dehydratase [EC:4.2.1.51 4.2.1.91]"	6	0.03
K02236	comC	"leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]"	1	0.01
K21237	gp2	"Phi29virus DNA polymerase [EC:2.7.7.7]"	1	0.01
K03635	MOCS2B, moaE	"molybdopterin synthase catalytic subunit [EC:2.8.1.12]"	1	0.01
K02787	PTS-Lac-EIIB, lacE	"PTS system, lactose-specific IIB component [EC:2.7.1.207]"	7	0.04
K02824	pyrP, uraA	"uracil permease"	1	0.01
